,distribution,bed_amount,denied,covid_denied,waiting_time,occupancy,admissioned,failed_reschedules,succesful_reschedules
184,"[4, 5, 6, 8, 15, 5]",38,1180,191,32436,73.17231434751261,4305,30,349
185,"[4, 5, 6, 8, 15, 5]",43,1050,1309,23730,46.5076457470532,3775,15,321
186,"[4, 5, 6, 9, 14, 5]",38,1127,371,32814,75.21629416005769,4347,22,415
187,"[4, 5, 6, 9, 14, 5]",43,1186,1337,31266,46.911436763300415,3548,16,405
188,"[4, 5, 6, 10, 13, 5]",38,1216,360,39066,70.90032444124009,4151,33,452
189,"[4, 5, 6, 10, 13, 5]",43,1207,1330,49578,47.780344058617395,3698,34,513
190,"[4, 5, 6, 11, 12, 5]",38,1342,375,36984,69.06633020908436,4137,27,460
191,"[4, 5, 6, 11, 12, 5]",43,1303,1437,31068,48.744823192099396,3684,16,410
192,"[4, 5, 6, 12, 11, 5]",38,1213,479,29556,65.81560922855083,4028,17,419
193,"[4, 5, 6, 12, 11, 5]",43,1195,1311,46902,46.62631411277477,3611,36,466
194,"[4, 5, 6, 13, 10, 5]",38,1179,521,29784,65.24963950973324,4147,15,480
195,"[4, 5, 6, 13, 10, 5]",43,1146,1269,29478,46.80790060528831,3710,3,428
196,"[4, 5, 7, 5, 17, 5]",38,1169,114,26424,75.57317952415285,4622,12,370
197,"[4, 5, 7, 5, 17, 5]",43,1037,1312,19908,46.722682382924496,3711,11,290
198,"[4, 5, 7, 6, 16, 5]",38,986,208,18720,75.49657534246576,4485,10,302
199,"[4, 5, 7, 6, 16, 5]",43,1138,1385,28056,46.97833705001593,3810,27,322
200,"[4, 5, 7, 7, 15, 5]",38,1133,240,21414,75.29199711607787,4542,13,296
201,"[4, 5, 7, 7, 15, 5]",43,1110,1361,30456,48.57040458744823,3804,35,279
202,"[4, 5, 7, 8, 14, 5]",38,1100,333,29046,73.96449170872387,4413,26,288
203,"[4, 5, 7, 8, 14, 5]",43,945,1317,22176,48.01130933418286,3847,23,223
